,gene,82QvsWT_log2FoldChange,82QvsWT_padj,591vsWT_log2FoldChange,591vsWT_padj,591vs82Q_log2FoldChange,591vs82Q_padj
5,Cacna1e,0.438119810729765,8.03506021259436e-06,0.30632702421163,0.0225162912343897,-0.131792786518135,0.27176562744058
7,Cacna1h,0.559861548384863,0.00605432882926425,0.0283057207908525,0.973274302830002,-0.531555827594011,0.0108903786666534
9,Chrnb1,0.321429684664383,0.00621519181797562,0.0295274638884665,0.94837483239817,-0.291902220775917,0.0155184010895349
17,Gabrg2,-0.197409120526226,2.28070530374366e-05,-0.112904005837518,0.138919380575784,0.0845051146887078,0.115551772273294
22,Glra2,0.699173358938744,0.00863761885420351,0.303330146764326,0.638576505718472,-0.395843212174418,0.175183076727414
25,Gria3,-0.348783070405857,1.51908602892404e-06,-0.229938667831474,0.0206641985280651,0.118844402574382,0.169546941757228
26,Gria4,-0.233660315127401,0.000310502903166031,-0.0586266510982819,0.74748174217744,0.175033664029119,0.0108367058070707
29,Grik2,-0.183039634218196,0.00478612915237425,-0.0475176844877475,0.803772540011705,0.135521949730448,0.0503115810764455
34,Itpr2,0.387166151243291,6.51830162058663e-06,0.155632379487603,0.376960334189964,-0.231533771755688,0.0129927884019627
36,Kcnb1,0.243886699670125,0.00319167777983931,0.220889943497741,0.0571825050088275,-0.0229967561723836,0.84952185051656
40,Kcnc4,0.289424216645512,0.000342005420680256,0.136015229047824,0.413958609379534,-0.153408987597688,0.0888279580331887
47,Kcnj16,-0.273817390573669,3.12898162454556e-05,-0.122859911332134,0.341777948776987,0.150957479241536,0.0386079969036494
54,Kcnk2,0.225304759245149,0.00185296126986455,0.0442068201851009,0.846171052583681,-0.181097939060048,0.0168097180536292
59,Kcnn3,0.34252612395538,0.00758055927647277,0.214260447771745,0.391084722797488,-0.128265676183635,0.403282118309359
61,Kcnq4,-0.659880495341616,1.08079728219488e-05,-0.326688047484275,0.210632875272021,0.33319244785734,0.0506388427306715
62,Kcnq5,1.14580897656768,0.000448515255939433,0.644241588328259,0.295650944797477,-0.501567388239423,0.173422884699604
65,Kcnt1,-0.149404667006784,0.00631192096520254,-0.0858972470963898,0.435027782002858,0.0635074199103942,0.32419425339959
71,Ryr3,0.600375663918748,0.000636954737226762,0.463053277812786,0.0719762591885233,-0.137322386105961,0.5502931028128
75,Scnn1a,1.43809976734513,0.000780507460313362,0.386379466135809,0.751901056387433,-1.05172030120932,0.0191674614352977
