gene,82QvsWT_log2FoldChange,82QvsWT_padj,591vsWT_log2FoldChange,591vsWT_padj,591vs82Q_log2FoldChange,591vs82Q_padj
Aqp6,-0.419049096504788,7.34885179619523e-08,-0.0703985412266836,0.758448929266639,0.348650555278105,1.68061793986172e-05
Cacna1a,-0.301158863787254,1.91988013626941e-07,-0.0478646898592196,0.787507613493125,0.253294173928034,2.46647781087814e-05
Cacna1b,-0.167374881055378,0.00535917369426815,0.0233167700481063,0.914175100264623,0.190691651103485,0.00147340529627275
Cacna1g,-1.23570309254521,4.46324998819156e-39,-0.341954531930312,0.0105008937826284,0.893748560614895,4.95631223680209e-20
Chrnb2,-0.2980614305988,9.71926976417598e-13,-0.0212647627518747,0.892722456662495,0.276796667846926,1.06242763271849e-10
Gabra1,-0.343040241300812,9.34638553280042e-11,-0.108587236863057,0.305656340613294,0.234453004437756,3.04033806591035e-05
Gabra6,-0.504276158809521,1.78276890678692e-12,-0.0390771498612038,0.884941700304955,0.465199008948318,2.34711569830593e-10
Gabrb2,-0.36059317569129,4.63276639762897e-08,-0.0702064305471429,0.698738673361709,0.290386745144147,2.47225414123727e-05
Gabrb3,-0.248267443123787,0.000173593936967671,0.0333438343998209,0.886575160221358,0.281611277523608,2.10928580698492e-05
Glrb,-0.23765882620117,3.50890048099577e-07,-0.0733778473259567,0.489612345923034,0.164280978875213,0.000941910936675809
Gria1,-0.232700350397697,2.32537360895514e-05,-0.0365000651788774,0.835224164531982,0.19620028521882,0.000596769930819176
Grid2,-0.961939169576541,3.16122735618525e-31,-0.215695012100059,0.140737863617357,0.746244157476482,2.38757388776284e-18
Grin2c,-0.191722173215229,0.00116258707163486,-0.00369668603299135,0.990297914630982,0.188025487182238,0.00179165580016763
Kcnc1,-0.462220173823495,2.15409889718247e-15,0.0416046973116249,0.831066580688624,0.50382487113512,1.07905386138942e-17
Kcnc3,-0.782149551074714,2.78250048559414e-32,-0.189339669450598,0.0827509462471411,0.592809881624116,3.64019115963176e-18
Kcnd2,-0.429271082338337,3.02565188864857e-08,-0.0806031808514281,0.710168342976077,0.348667901486909,1.58995830122345e-05
Kcnh1,-0.430663027300587,9.57155738215617e-06,-0.0378691904581475,0.919605729680206,0.392793836842439,8.67716749683954e-05
Kcnh3,-1.74032655518905,2.28352937068386e-19,-0.5323446657123,0.06556502456659,1.20798188947675,4.34076107970468e-09
Kcnj11,-0.206449631920127,2.08853160050654e-05,0.0461541459472099,0.732988592545209,0.252603777867336,1.47903256130894e-07
Kcnj12,-0.411048584816489,3.83973755366881e-12,0.0105077586744839,0.967959975547121,0.421556343490972,2.39170482064569e-12
Kcnj3,-0.381108383021071,0.00515700569312543,0.0241543914187872,0.962903179522727,0.405262774439858,0.00317599889089194
Kcnj6,-0.480166198364274,0.000709905005289243,0.200250431770955,0.525123690328245,0.68041663013523,7.75422406007431e-07
Kcnj9,-0.33701527407699,2.91683950161495e-07,-0.0551417445983175,0.784295450735975,0.281873529478672,3.66681014563494e-05
Kcnk10,-0.611265411046591,8.38537063216597e-14,0.00498667623312844,0.99161718171043,0.616252087279719,1.260639841694e-13
Kcnk12,-0.596361215950005,2.21502179881324e-10,0.192333242947009,0.295067036647853,0.788694458897015,2.22906239502513e-17
Kcnk3,-0.408335697907171,9.4966331932331e-12,0.01657677202195,0.946331214650232,0.424912469929121,2.74198182672523e-12
Kcnma1,-0.835471101619376,2.90314654295621e-16,-0.168391062986322,0.484725630413161,0.667080038633055,3.15744807554777e-10
Kcnq2,-0.191656402831305,0.0015353660635553,0.0445420291264399,0.805818022014335,0.236198431957744,7.90754507208813e-05
Orai2,-0.478524669545091,1.35827257843902e-11,-0.166104419378077,0.192497671822399,0.312420250167015,3.61290565235547e-05
Orai3,-0.269916160633665,5.2470604102183e-07,-0.10845870675279,0.29667239568909,0.161457453880875,0.00604162451735762
Ryr1,-0.301378951986009,0.000385649791420511,-0.0439692364144533,0.880630098782587,0.257409715571556,0.00355208549178124
Ryr2,-0.381363300167609,9.32853907943648e-09,0.00412666534022438,0.99161718171043,0.385489965507834,1.12734351939686e-08
Scn1a,-0.311662288863935,1.48354059834143e-07,-0.0767708495954829,0.603171113393184,0.234891439268452,0.000167136871333105
Scn8a,-0.211953255174902,0.000121083731575316,0.0293383316425204,0.879330873183525,0.241291586817423,1.24435918630386e-05
