,ATXN1_82Q_5_Wk,ATXN1_154Q_5_12_Wk,ATXN2_127Q_6_Wk,ATXN2_72Q_8_Wk
0,Scn3a,Kcnc1,Kcns2,Kcnj9
1,Aqp1,Kcnma1,Kcnk3,Grik1
2,Grik1,Trpc3,Hcn2,Kcng4
3,Kcnq5,Itpr1,Kcnj10,Kcnc1
4,Kcnj4,Kcnj9,Hvcn1,Kcna6
5,Kcng4,Kcnj6,Grik1,Gria1
6,Glra1,Kcnq2,Kcnq5,Kcnk1
7,Kcnj8,Kcnd2,Kcng4,Gria4
8,Cacna1h,Cacna1g,Scn5a,Gria2
9,Kcnc2,Scn1a,P2rx6,Trpc6
10,Kcnt2,Ryr1,Grik3,Kcnk2
11,Kcna6,Tpcn1,Kcnt2,Gabra4
12,Kcnk1,Trpm1,Kcnj3,Grin2c
13,Gabra3,Kcnb1,Kcna6,Chrnb2
14,Cacna1g,Trpc1,Catsper2,Nalcn
15,Kcnf1,Gria1,Kcnc1,Kcnb2
16,Gabrq,,Itpr1,Glra2
17,Cacna1c,,Trpc4,Panx1
18,Cacna1i,,Gabrb2,Kcnk13
19,Glra2,,Orai3,Gjc3
20,Chrna4,,Htr3a,Orai2
21,Gabra5,,Ryr2,Kcnk10
22,Kcna4,,Grid1,Itpr2
23,Trpv4,,Gria2,Aqp6
24,Ryr3,,Cacna1g,Kcnq2
25,Kcnma1,,Trpc6,Kcnd2
26,Trpc3,,Trpc7,Trpc5
27,Glra3,,Kcna1,Kcnc3
28,Ryr1,,Kcns3,Trpc3
29,Grid2,,Gabrg2,Gja1
30,Kcnc3,,Scn8a,
31,Kcnh5,,Trpc2,
32,,,Gabra2,
33,,,Mcoln3,
34,,,Kcnk12,
35,,,Kcnv2,
36,,,Grik4,
37,,,Cftr,
38,,,Scnn1g,
39,,,Cacna1i,
40,,,Glra2,
41,,,Panx1,
42,,,Tpcn1,
43,,,Kcnd3,
44,,,Cacna1b,
45,,,Gabra5,
46,,,Asic1,
47,,,Grin3a,
48,,,Trpm3,
49,,,Trpv2,
50,,,Kcnk10,
51,,,Ryr3,
52,,,Kcnma1,
53,,,Trpc3,
54,,,Clcn6,
55,,,Aqp6,
56,,,Kcnj2,
57,,,Kcnj6,
58,,,Kcnq2,
59,,,Kcnd2,
60,,,Grin2a,
61,,,Ryr1,
62,,,Chrna7,
63,,,Grid2,
64,,,Gria3,
65,,,Cacna1a,
66,,,Grik2,
67,,,Gabra1,
68,,,P2rx5,
69,,,Kcnc3,
70,,,Kcnh5,
