,ATXN1_82Q_5_Wk-ATXN1_154Q_5_12_Wk-ATXN2_127Q_6_Wk,ATXN1_82Q_5_Wk-ATXN1_154Q_5_12_Wk-ATXN2_72Q_8_Wk,ATXN1_82Q_5_Wk-ATXN2_127Q_6_Wk-ATXN2_72Q_8_Wk,ATXN1_154Q_5_12_Wk-ATXN2_127Q_6_Wk-ATXN2_72Q_8_Wk
0,Adam23,Arhgap5,2410124H12Rik,Zranb1
1,Arhgap5,Baiap2,6030419C18Rik,Kcnip1
2,Baiap2,Bcar1,A830018L16Rik,Large
3,Bcar1,Clstn2,AK129341,Trpc3
4,Cacna1g,Col18a1,Agfg2,Nab2
5,Cacna2d2,Cox6b2,Ajap1,Rdh11
6,Clstn2,Creg1,Arhgap20,Gng13
7,Col18a1,Dap,Arhgap5,Tuba8
8,Cox6b2,Doc2b,Arhgef33,Cnnm1
9,Creg1,Fgf11,Atl2,Th
10,Dap,Gng13,Baiap2,Doc2b
11,Doc2b,Hr,Basp1,Lrp8
12,Fgf11,Icmt,Bcar1,St8sia5
13,Gng13,Id2,Bdnf,Itga3
14,Hr,Igfbp5,Bmf,Clstn2
15,Icmt,Inpp5a,Cacnb2,Prkcd
16,Id2,Itpka,Calb1,Agt
17,Igfbp5,Kcnip1,Car4,Strn3
18,Inpp5a,Lrp8,Car8,Kcnc1
19,Itgb1bp1,Pcp4,Ccnd1,Dym
20,Itpka,Plcb3,Cep72,Sbk1
21,Kalrn,Ptprr,Cep76,Itpka
22,Kcnip1,Rdh11,Chst8,Srgap3
23,Kcnma1,Rgs8,Clstn2,Snrk
24,Kctd12,Rhobtb2,Col18a1,Pitpnm1
25,Kitl,Sbk1,Col5a1,Asph
26,Lrp8,Slc20a1,Cox6b2,Ptprr
27,Myo10,Spag5,Cpeb1,Kcnq2
28,Nfil3,Stk17b,Cpne4,Icmt
29,Pcp4,Strn3,Creg1,Olfm3
30,Pde9a,Th,Cttnbp2,Car9
31,Plcb3,Tpbg,Cyth3,Inpp5a
32,Plxdc1,Trpc3,D8Ertd82e,Cerk
33,Ptprm,Tuba8,Dagla,Id2
34,Ptprr,Zdhhc14,Dap,Cox6b2
35,Rab3d,,Dbp,Hr
36,Rdh11,,Dgkh,Clu
37,Rgs8,,Dgkz,Fgf11
38,Rhobtb2,,Dner,Slc20a1
39,Ryr1,,Doc2b,Plcb3
40,Sbk1,,Epor,Nab1
41,Slc20a1,,Eps8l2,Nrk
42,Spag5,,Erbb3,Lhx1
43,Stk17b,,Erp29,Rhobtb2
44,Strn3,,Fam107b,Igfbp5
45,Th,,Fam21,Car7
46,Tpm2,,Fam222a,Rgs8
47,Trpc3,,Fgf11,Ndst3
48,Tuba8,,Fgf7,Bai1
49,Zdhhc14,,Fkbp5,Pcp4
50,,,Foxp4,Fut8
51,,,Gabbr1,Nr2f6
52,,,Gabbr2,Bub3
53,,,Galnt15,Spock1
54,,,Galr1,Nova1
55,,,Garnl3,Sox4
56,,,Gdf11,Hmgn3
57,,,Gfap,Lrrtm1
58,,,Glra2,Arhgap5
59,,,Gm5083,Baiap2
60,,,Gng13,Bcar1
61,,,Gpr158,Camk1d
62,,,Gpr63,Col18a1
63,,,Grid2ip,Creg1
64,,,Grik1,Dap
65,,,Hdc,Kcnd2
66,,,Homer3,Slc25a29
67,,,Hpcal1,Spag5
68,,,Hr,Stk17b
69,,,Hrh3,Zdhhc14
70,,,Icmt,
71,,,Id2,
72,,,Igfbp5,
73,,,Iltifb,
74,,,Inpp5a,
75,,,Ipo5,
76,,,Itpka,
77,,,Jup,
78,,,Kcna6,
79,,,Kcnc3,
80,,,Kcng4,
81,,,Kcnip1,
82,,,Kcnmb4,
83,,,Lhpp,
84,,,Lrp8,
85,,,Mal,
86,,,Mal2,
87,,,Mdfi,
88,,,Meis2,
89,,,Mfsd2a,
90,,,Mprip,
91,,,Nell1,
92,,,Nkain1,
93,,,Nlrp10,
94,,,Npr1,
95,,,Nr4a2,
96,,,Nsg1,
97,,,Ntf3,
98,,,Oprl1,
99,,,Pcp2,
100,,,Pcp4,
101,,,Peg10,
102,,,Pkp3,
103,,,Plcb3,
104,,,Plekhd1,
105,,,Ppapdc2,
106,,,Ppp1r16b,
107,,,Ppp1r17,
108,,,Ppp1r1b,
109,,,Ppp4r4,
110,,,Prmt8,
111,,,Psd2,
112,,,Ptprr,
113,,,Rdh11,
114,,,Rell1,
115,,,Rgs8,
116,,,Rhobtb2,
117,,,Rmdn3,
118,,,Rnf19b,
119,,,Rtel1,
120,,,Rtn4rl1,
121,,,Samd8,
122,,,Sbk1,
123,,,Sdc1,
124,,,Sema3a,
125,,,Sema7a,
126,,,Shank2,
127,,,Slc20a1,
128,,,Slc6a6,
129,,,Slc9a3,
130,,,Spag5,
131,,,Spns2,
132,,,Srl,
133,,,Stac,
134,,,Stk17b,
135,,,Strn3,
136,,,Syt16,
137,,,Th,
138,,,Tle3,
139,,,Tmem200b,
140,,,Tmtc1,
141,,,Trabd2b,
142,,,Trpc3,
143,,,Tspan11,
144,,,Tspan14,
145,,,Ttll5,
146,,,Tuba8,
147,,,Vimp,
148,,,Wiz,
149,,,Ywhah,
150,,,Zcchc12,
151,,,Zdhhc14,
152,,,Zfp385c,
